"Parsha","Sheet Title","Source Index","Ref","Hebrew Text","English Text","Comment"
"Shemos","חק לישראל - פרשת שמות יום ראשון","1","","<h1><b>תורה</b></h1>","",""
"Shemos","חק לישראל - פרשת שמות יום ראשון","2","","<small>יכוין בקריאת ששה פסוקים אלו שהם כנגד וֵ דמילוי יו''ד דשם ב''ן להשאיר בו הארה מתוספת נשמה משבת שעברה:</small>","",""
"Shemos","חק לישראל - פרשת שמות יום ראשון","3","Exodus 1:1-6","<div>א (<small>א</small>) וְאֵ֗לֶּה שְׁמוֹת֙ בְּנֵ֣י יִשְׂרָאֵ֔ל הַבָּאִ֖ים מִצְרָ֑יְמָה אֵ֣ת יַעֲקֹ֔ב אִ֥ישׁ וּבֵית֖וֹ בָּֽאוּ׃</div><div><small>וְאִלֵין שְׁמָהַת בְּנֵי יִשְׂרָאֵל דְעַלוּ לְמִצְרָיִם עִם יַעֲקֹב גְבַר וֶאֱנַשׁ בֵּיתֵהּ עַלוּ:</small></div><div>(<small>ב</small>) רְאוּבֵ֣ן שִׁמְע֔וֹן לֵוִ֖י וִיהוּדָֽה׃</div><div><small>רְאוּבֵן שִׁמְעוֹן לֵוִי וִיהוּדָה:</small></div><div>(<small>ג</small>) יִשָּׂשכָ֥ר זְבוּלֻ֖ן וּבִנְיָמִֽן׃</div><div><small>יִשָּׂשׂכָר זְבוּלֻן וּבִנְיָמִין:</small></div><div>(<small>ד</small>) דָּ֥ן וְנַפְתָּלִ֖י גָּ֥ד וְאָשֵֽׁר׃</div><div><small>דָן וְנַפְתָּלִי גָד וְאָשֵׁר:</small></div><div>(<small>ה</small>) וַֽיְהִ֗י כׇּל־נֶ֛פֶשׁ יֹצְאֵ֥י יֶֽרֶךְ־יַעֲקֹ֖ב שִׁבְעִ֣ים נָ֑פֶשׁ וְיוֹסֵ֖ף הָיָ֥ה בְמִצְרָֽיִם׃</div><div><small>וַהֲוָה כָּל נַפְשָׁתָא נַפְקֵי יַרְכָּא דְיַעֲקֹב שַׁבְעִין נַפְשָׁן וְיוֹסֵף <b>דַהֲוָה</b> בְּמִצְרָיִם:</small></div><div>(<small>ו</small>) וַיָּ֤מׇת יוֹסֵף֙ וְכׇל־אֶחָ֔יו וְכֹ֖ל הַדּ֥וֹר הַהֽוּא׃</div><div><small>וּמִית יוֹסֵף וְכָל אַחוֹהִי וְכֹל דָרָא הַהוּא:</small></div>","<div>1 (1) NOW these are the names of the children of Yisra᾽el who came into Miżrayim, with Ya῾aqov; every man came with his household.</div><div>(2) Re᾽uven, Shim῾on, Levi, and Yehuda;</div><div>(3) Yissakhar, Zevulun, and Binyamin;</div><div>(4) Dan, Naftali, Gad, and Asher.</div><div>(5) And all the souls that came out of the loins of Ya῾aqov were seventy souls: for Yosef was already in Miżrayim.</div><div>(6) And Yosef died, and all his brethren, and all that generation.</div>",""
"Shemos","חק לישראל - פרשת שמות יום ראשון","4","","<h1><b>נביאים</b></h1>","",""
"Shemos","חק לישראל - פרשת שמות יום ראשון","5","Isaiah 27:6-11","<div>כז (<small>ו</small>) הַבָּאִים֙ יַשְׁרֵ֣שׁ יַֽעֲקֹ֔ב יָצִ֥יץ וּפָרַ֖ח יִשְׂרָאֵ֑ל וּמָלְא֥וּ פְנֵי־תֵבֵ֖ל תְּנוּבָֽה׃ <span class=""mam-spi-pe"">{פ}</span> </div><div><small>יִתְכַּנְשׁוּן מִבֵּינֵי גַלְוַתְהוֹן וִיתוּבוּן לְאַרְעֲהוֹן תַּמָן יִתְיְלִידוּן דְבֵית יַעֲקֹב יִפְשׁוּן וְיִסְגוּן דְבֵית יִשְׂרָאֵל וְיִמְלוּן אַפֵי תֵבֵל בְּנֵי בְנִין:</small></div><div>(<small>ז</small>) הַכְּמַכַּ֥ת מַכֵּ֖הוּ הִכָּ֑הוּ אִם־כְּהֶ֥רֶג הֲרֻגָ֖יו הֹרָֽג׃</div><div><small>הַכְּמַחְתָּא דַהֲוָה מָחֵי מָחוֹהִי אִם כִּקְטוֹל קְטִילוֹהִי יִתְקְטֵיל:</small></div><div>(<small>ח</small>) בְּסַאסְּאָ֖ה בְּשַׁלְחָ֣הּ תְּרִיבֶ֑נָּה הָגָ֛ה בְּרוּח֥וֹ הַקָּשָׁ֖ה בְּי֥וֹם קָדִֽים׃</div><div><small>בְּסָאתָא דַהֲוֵיתָא כְאֵיל בָּהּ יְכִילוּן לָךְ דַהֲוֵיתָא שָׁלַח וּמֵעִיק לְהוֹן הֲגֵי עֲלֵיהוֹן בְמִלָא מַתְקֵיף עֲלֵיהוֹן בְּיוֹם לְוָט:</small></div><div>(<small>ט</small>) לָכֵ֗ן בְּזֹאת֙ יְכֻפַּ֣ר עֲוֺֽן־יַעֲקֹ֔ב וְזֶ֕ה כׇּל־פְּרִ֖י הָסִ֣ר חַטָּאת֑וֹ בְּשׂוּמ֣וֹ <b>׀</b> כׇּל־אַבְנֵ֣י מִזְבֵּ֗חַ כְּאַבְנֵי־גִר֙ מְנֻפָּצ֔וֹת לֹא־יָקֻ֥מוּ אֲשֵׁרִ֖ים וְחַמָּנִֽים׃</div><div><small>בְּכֵן בְּדָא יִשְׁתְּבֵיקוּן חוֹבַי בֵּית יַעֲקֹב וְדֵין כָּל עוֹבָדֵי אַסְטִיוּת חוֹבוֹהִי בְּשַׁוְיוּתֵהּ כָּל אַבְנֵי אֱגוֹרָא כְּאַבְנָא גִיר מְנַפְצָן לָא יִתְקַיְמוּן אֲשֵׁרַיָא וְחַנִסְנְסַיָא:</small></div><div>(<small>י</small>) כִּ֣י עִ֤יר בְּצוּרָה֙ בָּדָ֔ד נָוֶ֕ה מְשֻׁלָּ֥ח וְנֶעֱזָ֖ב כַּמִּדְבָּ֑ר שָׁ֣ם יִרְעֶ֥ה עֵ֛גֶל וְשָׁ֥ם יִרְבָּ֖ץ וְכִלָּ֥ה סְעִפֶֽיהָ׃</div><div><small>אֲרֵי קַרְתָּא דַהֲוָת כְּרִיכָא בִּלְחוֹדָא תִּתַב תְּהֵא מְטַלְטְלָא וּשְׁבִיקָא כְּמַדְבְּרָא בָּהּ יְגִיחוּן צַדִיקַיָא וְיִבְזוּן יַת נִכְסָהָא וִיסוּפוּן מַשִׁרְיָתָהָא מִלְמִפָּק:</small></div><div>(<small>יא</small>) בִּיבֹ֤שׁ קְצִירָהּ֙ תִּשָּׁבַ֔רְנָה נָשִׁ֕ים בָּא֖וֹת מְאִיר֣וֹת אוֹתָ֑הּ כִּ֣י לֹ֤א עַם־בִּינוֹת֙ ה֔וּא עַל־כֵּן֙ לֹא־יְרַחֲמֶ֣נּוּ עֹשֵׂ֔הוּ וְיֹצְר֖וֹ לֹ֥א יְחֻנֶּֽנּוּ׃ <span class=""mam-spi-pe"">{פ}</span> </div><div><small>יִתְקַצַר חֵילֵיהוֹן וְיִבְהֲתוּן בְּעוֹבְדֵיהוֹן יִתַּבְּרוּן נְשַׁיָא עָלָן לְבֵית דְחַלְתְּהוֹן וּמַלְפָן יַתְהוֹן אֲרֵי לָא עַם סוּכְלְתָן אִינוּן עַל כֵּן לָא יְרַחֵם עֲלֵיהוֹן דְעַבְדִינוּן וּדְבָרָנוּן לָא יָחוּס עֲלֵיהוֹן:</small></div>","<div>27 (6) In days to come Ya῾aqov shall take root: Yisra᾽el shall blossom and bud, and the face of the world shall be filled with fruit.</div><div>(7) Has he smitten him, as he smote those that smote him? or is he slain according to the slaughter of them that are slain by him?</div><div>(8) By measure, by exile, thou didst contend with them; he removed her by his rough blast in the day of the east wind.</div><div>(9) By this therefore shall the iniquity of Ya῾aqov be atoned; and this is all the fruit to take away his sin; when he makes all the stones of the altar as chalkstones that are beaten in sunder, the asherim and sun images shall not remain standing.</div><div>(10) Yet the fortified city shall be solitary, and the habitation forsaken, and left like a wilderness: there shall the calf feed, and there shall he lie down, and consume its branches.</div><div>(11) When its boughs are withered, they shall be broken off: the women shall come, and set them on fire: for it is a people of no understanding: therefore he that made them will not have mercy on them, and he that formed them will show them no favour.</div>",""
"Shemos","חק לישראל - פרשת שמות יום ראשון","6","","<h1><b>כתובים</b></h1>","",""
"Shemos","חק לישראל - פרשת שמות יום ראשון","7","Proverbs 11:25-30","<div>יא (<small>כה</small>) נֶֽפֶשׁ־בְּרָכָ֥ה תְדֻשָּׁ֑ן וּ֝מַרְוֶ֗ה גַּם־ה֥וּא יוֹרֶֽא׃</div><div><small>נַפְשָׁא דְבִרְכְּתָא תִדְהַן וּמַן דִמְאַלֵף אַף הוּא יֵלִיף:</small></div><div>(<small>כו</small>) מֹ֣נֵֽעַ בָּ֭ר יִקְּבֻ֣הוּ לְא֑וֹם וּ֝בְרָכָ֗ה לְרֹ֣אשׁ מַשְׁבִּֽיר׃</div><div><small>מַן דְכָלֵא עִבּוּרָא בְּאוּלְצָנָא נִשְׁבְּקוּנֵיהּ לִבְעֵל דְבָבוֹי וּבִרְכְּתָא תֶהֱוֵי לְאִנָא דִמְזַבֵּן:</small></div><div>(<small>כז</small>) שֹׁ֣חֵֽר ט֭וֹב יְבַקֵּ֣שׁ רָצ֑וֹן וְדֹרֵ֖שׁ רָעָ֣ה תְבוֹאֶֽנּוּ׃</div><div><small>דְמַקְדִים טָבְתָא בָּעֵי צִבְיָנָא וְתָבֵעַ בִּישְׁתָּא אָתְיָא עֲלוֹי:</small></div><div>(<small>כח</small>) בּוֹטֵ֣חַ בְּ֭עׇשְׁרוֹ ה֣וּא יִפּ֑וֹל וְ֝כֶעָלֶ֗ה צַדִּיקִ֥ים יִפְרָֽחוּ׃</div><div><small>דִמְסַבֵּר בְּעוּתְרֵיהּ הוּא נָפֵל וְאֵיךְ טַרְפָא צַדִיקֵי מַפְרְחִין:</small></div><div>(<small>כט</small>) עֹכֵ֣ר בֵּ֭יתוֹ יִנְחַל־ר֑וּחַ וְעֶ֥בֶד אֱ֝וִ֗יל לַֽחֲכַם־לֵֽב׃</div><div><small>עָכֵר בֵּיתֵיהּ יֵרֵית פָּחֲתָא וְסִכְלָא יֶהֱוֵי עַבְדָא לְחַכִּים לִבָּא:</small></div><div>(<small>ל</small>) פְּֽרִי־צַ֭דִּיק עֵ֣ץ חַיִּ֑ים וְלֹקֵ֖חַ נְפָשׁ֣וֹת חָכָֽם׃</div><div><small>פֵּרוֹי דְצַדִיקָא אִילָנָא דְחַיֵי וּמְקַבְּלָנוּתָא דְנַפְשֵׁי חָכְמְתָא:</small></div>","<div>11 (25) The liberal soul shall be made rich: and he who waters shall be nourished also himself.</div><div>(26) He who holds back corn, the people shall curse him: but blessing shall be upon the head of him who sells freely.</div><div>(27) He who diligently seeks good procures favour: but he who seeks mischief, it shall come to him.</div><div>(28) He who trusts in his riches shall fall: but the righteous shall flourish like foliage.</div><div>(29) He who troubles his own house shall inherit wind: and the fool shall be servant to the wise of heart.</div><div>(30) The fruit of the righteous is a tree of life; and he that wins souls is wise.</div>",""
"Shemos","חק לישראל - פרשת שמות יום ראשון","8","","<h1><b>משנה</b></h1>","",""
"Shemos","חק לישראל - פרשת שמות יום ראשון","9","Mishnah Peah 4","<div>א. הַפֵּאָה נִתֶּנֶת בִּמְחֻבָּר לַקַּרְקָע. בְּדָלִית וּבְדֶקֶל, בַּעַל הַבַּיִת מוֹרִיד וּמְחַלֵּק לָעֲנִיִּים. רַבִּי שִׁמְעוֹן אוֹמֵר, אַף בַּחֲלִיקֵי אֱגוֹזִים. אֲפִלּוּ תִשְׁעִים וְתִשְׁעָה אוֹמְרִים לְחַלֵּק וְאֶחָד אוֹמֵר לָבוֹז, לָזֶה שׁוֹמְעִין, שֶׁאָמַר כַּהֲלָכָה: 
</div><div>ב. בְּדָלִית וּבְדֶקֶל אֵינוֹ כֵן, אֲפִלּוּ תִשְׁעִים וְתִשְׁעָה אוֹמְרִים לָבוֹז וְאֶחָד אוֹמֵר לְחַלֵּק, לָזֶה שׁוֹמְעִין, שֶׁאָמַר כַּהֲלָכָה: 
</div><div>ג. נָטַל מִקְצָת פֵּאָה וּזְרָקָהּ עַל הַשְּׁאָר, אֵין לוֹ בָהּ כְּלוּם. נָפַל לוֹ עָלֶיהָ, וּפֵרֵשׂ טַלִּיתוֹ עָלֶיהָ, מַעֲבִירִין אוֹתָהּ הֵימֶנּוּ. וְכֵן בְּלֶקֶט, וְכֵן בְּעֹמֶר הַשִּׁכְחָה: 
</div><div>ד. פֵּאָה אֵין קוֹצְרִין אוֹתָהּ בְּמַגָּלוֹת, וְאֵין עוֹקְרִין אוֹתָהּ בְּקַרְדֻּמּוֹת, כְּדֵי שֶׁלֹּא יַכּוּ אִישׁ אֶת רֵעֵהוּ: 
</div><div>ה. שָׁלשׁ אַבְעָיוֹת בַּיּוֹם, בַּשַּׁחַר וּבַחֲצוֹת וּבַמִּנְחָה. רַבָּן גַּמְלִיאֵל אוֹמֵר, לֹא אָמְרוּ אֶלָּא כְּדֵי שֶׁלֹּא יִפְחֲתוּ. רַבִּי עֲקִיבָא אוֹמֵר, לֹא אָמְרוּ אֶלָּא כְּדֵי שֶׁלֹּא יוֹסִיפוּ. שֶׁל בֵּית נָמֵר הָיוּ מְלַקְּטִין עַל הַחֶבֶל, וְנוֹתְנִים פֵּאָה מִכָּל אֻמָּן וְאֻמָּן: 
</div><div>ו. עוֹבֵד כּוֹכָבִים שֶׁקָּצַר אֶת שָׂדֵהוּ וְאַחַר כָּךְ נִתְגַּיֵּר, פָּטוּר מִן הַלֶּקֶט וּמִן הַשִּׁכְחָה וּמִן הַפֵּאָה. רַבִּי יְהוּדָה מְחַיֵּב בְּשִׁכְחָה, שֶׁאֵין הַשִּׁכְחָה אֶלָּא בִשְׁעַת הָעִמּוּר: 
</div><div>ז. הִקְדִּישׁ קָמָה וּפָדָה קָמָה, חַיָּב. עֳמָרִין וּפָדָה עֳמָרִין, חַיָּב. קָמָה וּפָדָה עֳמָרִין, פְּטוּרָה, שֶׁבִּשְׁעַת חוֹבָתָהּ הָיְתָה פְטוּרָה: 
</div><div>ח. כַּיּוֹצֵא בוֹ, הַמַּקְדִּישׁ פֵּרוֹתָיו עַד שֶׁלֹּא בָאוּ לְעוֹנַת הַמַּעַשְׂרוֹת, וּפְדָאָן, חַיָּבִין. מִשֶּׁבָּאוּ לְעוֹנַת הַמַּעַשְׂרוֹת, וּפְדָאָן, חַיָּבִין. הִקְדִּישָׁן עַד שֶׁלֹּא נִגְמְרוּ וּגְמָרָן הַגִּזְבָּר, וְאַחַר כָּךְ פְּדָאָן, פְּטוּרִים, שֶׁבִּשְׁעַת חוֹבָתָן הָיוּ פְטוּרִים: 
</div><div>ט. מִי שֶׁלָּקַט אֶת הַפֵּאָה וְאָמַר הֲרֵי זוֹ לְאִישׁ פְּלוֹנִי עָנִי, רַבִּי אֱלִיעֶזֶר אוֹמֵר, זָכָה לוֹ. וַחֲכָמִים אוֹמְרִים, יִתְּנֶנָּה לֶעָנִי שֶׁנִּמְצָא רִאשׁוֹן. הַלֶּקֶט וְהַשִּׁכְחָה וְהַפֵּאָה שֶׁל עוֹבֵד כּוֹכָבִים חַיָּב בְּמַעַשְׂרוֹת, אֶלָּא אִם כֵּן הִפְקִיר: 
</div><div>י. אֵיזֶהוּ לֶקֶט, הַנּוֹשֵׁר בִּשְׁעַת הַקְּצִירָה. הָיָה קוֹצֵר, קָצַר מְלֹא יָדוֹ, תָּלַשׁ מְלֹא קֻמְצוֹ, הִכָּהוּ קוֹץ וְנָפַל מִיָּדוֹ לָאָרֶץ, הֲרֵי הוּא שֶׁל בַּעַל הַבָּיִת. תּוֹךְ הַיָּד וְתוֹךְ הַמַּגָּל, לָעֲנִיִּים. אַחַר הַיָּד וְאַחַר הַמַּגָּל, לְבַעַל הַבָּיִת. רֹאשׁ הַיָּד וְרֹאשׁ הַמַּגָּל, רַבִּי יִשְׁמָעֵאל אוֹמֵר, לָעֲנִיִּים. רַבִּי עֲקִיבָא אוֹמֵר, לְבַעַל הַבָּיִת: 
</div><div>יא. חוֹרֵי הַנְּמָלִים שֶׁבְּתוֹךְ הַקָּמָה, הֲרֵי הֵן שֶׁל בַּעַל הַבָּיִת. שֶׁלְּאַחַר הַקּוֹצְרִים, הָעֶלְיוֹנִים לָעֲנִיִּים, וְהַתַּחְתּוֹנִים שֶׁל בַּעַל הַבָּיִת. רַבִּי מֵאִיר אוֹמֵר, הַכֹּל לָעֲנִיִּים, שֶׁסְּפֵק לֶקֶט, לֶקֶט: 
</div>","<div>1. Peah is given from [the crop] while it is still connected with the soil. But in the case of hanging vine-branches and the date-palm, the owner brings down [the fruit] and distributes it among the poor. Rabbi Shimon says: the same applies to smooth nut trees. Even if ninety-nine [of the poor] say [to the owner] to distribute it and one says to leave it in the field, this latter is listened to, since he spoke in accordance with the halakhah.</div><div>2. With hanging vine-branches and date-palm trees it is not so; even if ninety-nine [of the poor] say [to the owner] to leave it in the field and one says to distribute it, this latter is listened to, since he spoke in accordance with the halakhah.</div><div>3. If [a poor man] took some of the peah [already collected] and threw it onto the remainder [not yet collected], he gets none of it. If he fell down upon it, or spread his cloak over it, they take the peah away from him. The same applies to gleanings and the forgotten sheaf.</div><div>4. [The poor] may not harvest peah with scythes or tear it out [of the ground] with spades, so that they might not strike one another [with these implements].</div><div>5. There are three times a day [the poor] make a search [in the field for peah]: morning, noon, and sunset. Rabban Gamaliel says: these [times] were only set lest they reduce them. Rabbi Akiva says: these were set lest they add to them. [The men] of Bet Namer used to have the poor harvest [the peah] with the aid of a rope, and they left peah at the end of each furrow.</div><div>6. A non-Jew who harvested his field and then converted, he is exempt from [leaving] gleanings, the forgotten sheaf and peah. Rabbi Judah makes him liable to leave the forgotten sheaf, since he becomes liable for the forgotten sheaf at the time of their binding.</div><div>7. One who dedicated standing grain [to the Temple] and then redeemed it while it was still standing grain, he is liable [to give the agricultural gifts to the poor]. [If he dedicated] sheaves and redeemed them while they were still sheaves, he is liable. [If he dedicated] standing grain and redeemed it [when it was already in] sheaves, he is exempt, since at the time when it became liable it was exempt.</div><div>8. Similarly one who dedicates his produce prior to the stage when they are subject to tithes and then redeemed them, they are liable [to be tithed]. If [he dedicated them] when they had already become subject to tithes and then redeemed them, they are liable [to be tithed]. If he dedicated them before they had ripened, and they became ripe while in the possession of the [Temple] treasurer, and he then redeemed them, they are exempt, since at the time when they would have been liable, they were exempt.</div><div>9. One who collected peah and said, “This is for so-and-so a poor man:” Rabbi Eliezer says: he has thus acquired it for him. The sages say: he must give it to the first poor man he finds. Gleanings, the forgotten sheaf and the peah of non-Jews are subject to tithes, unless he [the non-Jew] had declared them ownerless.</div><div>10. What are gleanings? That which falls down at the time of harvesting. If while he was harvesting, he harvested a handful, or plucked a fistful, and then a thorn pricked him, and what he had in his hand fell to the ground, it still belongs to the owner. [That which drops from] inside the hand or the sickle [belongs] to the poor, but [that which falls from] the back of the hand or the sickle [belongs] to the owner. [That which falls from] the top of the hand or sickle: Rabbi Ishmael says: to the poor; But Rabbi Akiva says: to the owner.</div><div>11. [Grain found in] ant holes where the stalks are still standing, behold it still belongs to the owner. After the harvesters [had passed over them], those found in the top parts [of the ant holes belong] to the poor, but [those found] on the bottom parts [belong] to the owner. Rabbi Meir says: it all belongs to the poor, for gleanings about which there is any doubt are regarded as gleanings.</div>",""
"Shemos","חק לישראל - פרשת שמות יום ראשון","10","","<h1><b>גמרא</b></h1>","",""
